dataset,source_table,source_itemid,source_valueid,source_unitid,source_ordercategoryid,source_label,source_value,source_unit,source_token,row_count,harmonized_token,token_role,emit_as_model_token,non_drug_drugitem_class,target_vocabulary,target_concept_id,target_code,target_label,mapping_source,match_strength,mapping_confidence
AmsterdamUMCdb,drugitems,7229,,,65,Noradrenaline (Norepinefrine),2. Spuitpompen,,DRUG//START//65//7229,261506,MEDICATION//C01//C//A03,dynamic_event,True,,ATC,21600283.0,C01CA03,norepinephrine; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,8268,,,21,SDD drank (4 x dgs),Niet iv Antimicrobiele middelen,,DRUG//START//21//8268,196878,MEDICATION//A07//A//A,dynamic_event,True,,ATC,21600602.0,A07AA,Antibiotics,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,9138,,,21,SDD pasta (4 x dgs),Niet iv Antimicrobiele middelen,,DRUG//START//21//9138,196389,MEDICATION//A01//A//B,dynamic_event,True,,ATC,21600011.0,A01AB,Antiinfectives and antiseptics for local oral treatment,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,9424,,,65,"NaCL 0,9% spuit",2. Spuitpompen,,DRUG//START//65//9424,166829,FLUID//CRYSTALLOID_OR_DILUENT,dynamic_event/nutrition_fluid,True,crystalloid_or_diluent,LOCAL,,,FLUID//CRYSTALLOID_OR_DILUENT,stage3o_v6_policy,source_code_atc,high
AmsterdamUMCdb,drugitems,6891,,,29,Paracetamol,Niet iv CZS/Sedatie/Analgetica,,DRUG//START//29//6891,166397,MEDICATION//N02//B//E01,dynamic_event,True,,ATC,21604344.0,N02BE01,"paracetamol; oral, parenteral, rectal",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7624,,,65,Actrapid (Insuline),2. Spuitpompen,,DRUG//START//65//7624,153866,MEDICATION//A10//A//B01,dynamic_event,True,,ATC,21600715.0,A10AB01,insulin (human); parenteral,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7480,,,65,Propofol (Diprivan),2. Spuitpompen,,DRUG//START//65//7480,152707,MEDICATION//N01//A//X10,dynamic_event,True,,ATC,21604214.0,N01AX10,propofol,v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7291,,,55,"NaCl 0,45%/Glucose 2,5%",Infuus - Crystalloid,,DRUG//START//55//7291,133053,FLUID//CRYSTALLOID_OR_DILUENT,dynamic_event/nutrition_fluid,True,crystalloid_or_diluent,LOCAL,,,FLUID//CRYSTALLOID_OR_DILUENT,stage3o_v6_policy,source_code_atc,high
AmsterdamUMCdb,drugitems,7194,,,65,Midazolam (Dormicum),2. Spuitpompen,,DRUG//START//65//7194,132665,MEDICATION//N05//C//D08,dynamic_event,True,,ATC,21604643.0,N05CD08,"midazolam; nasal, oral, parenteral, sublingual",v10_existing_atc_normalization,validated_atc_concept,high
AmsterdamUMCdb,drugitems,7219,,,65,Fentanyl,2. Spuitpompen,,DRUG//START//65//7219,132502,MEDICATION//N01//A//H01,dynamic_event,True,,ATC,21604201.0,N01AH01,fentanyl,v10_existing_atc_normalization,validated_atc_concept,high
