source_token,harmonized_token,token_role,emit_as_model_token,non_drug_drugitem_class,target_vocabulary,target_concept_id,target_code,target_label,mapping_source,match_strength,mapping_confidence
DRUG//START//65//7229,ATC//SFX//C01,,True,,ATC,21600283,,C01CA03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//21//8268,ATC//A07//ANTIDIARRHEALS_INTESTINAL_ANTIINFLAMMATORY/ANTIINFECTIVE_AGENTS,,True,,ATC,21600602,,A07AA,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//21//9138,ATC//SFX//A01,,True,,ATC,21600011,,A01AB,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//9424,ATC//SFX//B05,,False,crystalloid_or_diluent,ATC,21601161,,B05BB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//29//6891,ATC//N02//ANALGESICS,,True,,ATC,21604344,,N02BE01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7624,ATC//A10//DRUGS_USED_IN_DIABETES,,True,,ATC,21600715,,A10AB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7480,ATC//N01//ANESTHETICS,,True,,ATC,21604214,,N01AX10,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//7291,ATC//SFX//B05,,False,crystalloid_or_diluent,ATC,21601162,,B05BB02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7194,ATC//N05//PSYCHOLEPTICS,,True,,ATC,21604643,,N05CD08,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7219,ATC//N01//ANESTHETICS,,True,,ATC,21604201,,N01AH01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//69//9080,ATC//S01//OPHTHALMOLOGICALS,,True,,ATC,21605115,,S01KA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//9001,ATC//SFX//B05,,True,,ATC,21601196,,B05XA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//114//12588,ATC//V06//GENERAL_NUTRIENTS,,False,enteral_nutrition,ATC,21605350,,V06DB,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//7293,ATC//SFX//B05,,False,crystalloid_or_diluent,ATC,21601161,,B05BB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//19129,ATC//A10//DRUGS_USED_IN_DIABETES,,True,,ATC,21600719,,A10AB05,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//69//12471,ATC//R01//NASAL_PREPARATIONS,,True,,ATC,21605016,,R01AA07,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//70//10622,ATC//R03//ANTI-ASTHMATICS,,True,,ATC,43534842,,R03AL,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//8937,ATC//SFX//B05,,False,line_or_device_metadata,ATC,21601161,,B05BB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//25//7625,ATC//SFX//B01,,True,,ATC,21600977,,B01AB06,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//67//7106,ATC//H02//CORTICOSTEROIDS_FOR_SYSTEMIC_USE,,True,,ATC,21602737,,H02AB09,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//70//9149,ATC//R03//ANTI-ASTHMATICS,,True,,ATC,43534844,,R03AL02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//31//8108,ATC//A06//LAXATIVES,,True,,ATC,21600575,,A06AD15,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7930,ATC//SFX//B01,,True,,ATC,21600973,,B01AB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//9014,ATC//A10//DRUGS_USED_IN_DIABETES,,True,,ATC,21600715,,A10AB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//17//7252,ATC//SFX//B05,,False,colloid_or_volume_expander,ATC,21601143,,B05AA06,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//119//13498,ATC//A06//LAXATIVES,,True,,ATC,21600575,,A06AD15,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//23//7225,ATC//N02//ANALGESICS,,True,,ATC,21604256,,N02AA01,AMSTEL_source_concepts,source_code_atc,high
