source_token,policy_layer,harmonized_token,token_role,emit_as_model_token,non_drug_drugitem_class,target_vocabulary,target_concept_id,target_code,target_label,mapping_source,match_strength,mapping_confidence
DRUG//START//65//7229,v10_medication_atc,MEDICATION//C01//C//A03,dynamic_event,True,,ATC,21600283,C01CA03,norepinephrine; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//21//8268,v10_medication_atc,MEDICATION//A07//A//A,dynamic_event,True,,ATC,21600602,A07AA,Antibiotics,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//21//9138,v10_medication_atc,MEDICATION//A01//A//B,dynamic_event,True,,ATC,21600011,A01AB,Antiinfectives and antiseptics for local oral treatment,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//29//6891,v10_medication_atc,MEDICATION//N02//B//E01,dynamic_event,True,,ATC,21604344,N02BE01,"paracetamol; oral, parenteral, rectal",v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//7624,v10_medication_atc,MEDICATION//A10//A//B01,dynamic_event,True,,ATC,21600715,A10AB01,insulin (human); parenteral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//7480,v10_medication_atc,MEDICATION//N01//A//X10,dynamic_event,True,,ATC,21604214,N01AX10,propofol,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//7194,v10_medication_atc,MEDICATION//N05//C//D08,dynamic_event,True,,ATC,21604643,N05CD08,"midazolam; nasal, oral, parenteral, sublingual",v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//7219,v10_medication_atc,MEDICATION//N01//A//H01,dynamic_event,True,,ATC,21604201,N01AH01,fentanyl,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//69//9080,v10_medication_atc,MEDICATION//S01//K//A02,dynamic_event,True,,ATC,21605115,S01KA02,hypromellose,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//9001,v10_medication_atc,MEDICATION//B05//X//A01,dynamic_event,True,,ATC,21601196,B05XA01,potassium chloride,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//19129,v10_medication_atc,MEDICATION//A10//A//B05,dynamic_event,True,,ATC,21600719,A10AB05,insulin aspart; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//69//12471,v10_medication_atc,MEDICATION//R01//A//A07,dynamic_event,True,,ATC,21605016,R01AA07,xylometazoline; nasal,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//70//10622,v10_medication_atc,MEDICATION//R03//A//L,dynamic_event,True,,ATC,43534842,R03AL,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//55//8937,v10_medication_atc,ATC//SFX//B05,metadata_only,False,line_or_device_metadata,ATC,21601161,B05BB01,B05BB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//25//7625,v10_medication_atc,MEDICATION//B01//A//B06,dynamic_event,True,,ATC,21600977,B01AB06,nadroparin; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//67//7106,v10_medication_atc,MEDICATION//H02//A//B09,dynamic_event,True,,ATC,21602737,H02AB09,"hydrocortisone; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//70//9149,v10_medication_atc,MEDICATION//R03//A//L02,dynamic_event,True,,ATC,43534844,R03AL02,salbutamol and ipratropium bromide,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//31//8108,v10_medication_atc,MEDICATION//A06//A//D15,dynamic_event,True,,ATC,21600575,A06AD15,macrogol; oral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//7930,v10_medication_atc,MEDICATION//B01//A//B01,dynamic_event,True,,ATC,21600973,B01AB01,heparin; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//9014,v10_medication_atc,MEDICATION//A10//A//B01,dynamic_event,True,,ATC,21600715,A10AB01,insulin (human); parenteral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//119//13498,v10_medication_atc,MEDICATION//A06//A//D15,dynamic_event,True,,ATC,21600575,A06AD15,macrogol; oral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//23//7225,v10_medication_atc,MEDICATION//N02//A//A01,dynamic_event,True,,ATC,21604256,N02AA01,"morphine; oral, parenteral, rectal",v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//30//7184,v10_medication_atc,MEDICATION//C07//A//B02,dynamic_event/medication,True,,ATC,21601684,C07AB02,"metoprolol; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//26//7979,v10_medication_atc,MEDICATION//A02//B//C02,dynamic_event,True,,ATC,21600097,A02BC02,"pantoprazole; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//71//8006,v10_medication_atc,MEDICATION//A12//B//A01,dynamic_event,True,,ATC,21600877,A12BA01,potassium chloride; oral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//23//7097,v10_medication_atc,MEDICATION//N05//A//D01,dynamic_event,True,,ATC,21604516,N05AD01,"haloperidol; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//29//6883,v10_medication_atc,MEDICATION//N05//B//A04,dynamic_event,True,,ATC,21604569,N05BA04,oxazepam; oral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//67//7148,v10_medication_atc,MEDICATION//B05//X//A05,dynamic_event,True,,ATC,21601200,B05XA05,magnesium sulfate,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//6964,v10_medication_atc,MEDICATION//C02//A//C01,dynamic_event,True,,ATC,21600398,C02AC01,"clonidine; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//7179,v10_medication_atc,MEDICATION//C01//C//A04,dynamic_event,True,,ATC,21600284,C01CA04,dopamine; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//23//6891,v10_medication_atc,MEDICATION//N02//B//E01,dynamic_event,True,,ATC,21604344,N02BE01,"paracetamol; oral, parenteral, rectal",v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//15//6919,v10_medication_atc,MEDICATION//J01//D//D01,dynamic_event,True,,ATC,21602895,J01DD01,cefotaxime; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//7244,v10_medication_atc,MEDICATION//C03//C//A01,dynamic_event,True,,ATC,21601518,C03CA01,"furosemide; oral, parenteral",v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//69//9120,v10_medication_atc,MEDICATION//S01//X//A20,dynamic_event,True,,ATC,21605143,S01XA20,artificial tears and other indifferent preparations,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//15//7187,v10_medication_atc,MEDICATION//J01//X//D01,dynamic_event,True,,ATC,21603054,J01XD01,metronidazole; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//21//12408,v10_medication_atc,MEDICATION//A07//A//A,dynamic_event,True,,ATC,21600602,A07AA,Antibiotics,v10_existing_atc_normalization,validated_atc_concept,high
