source_token,policy_layer,harmonized_token,token_role,emit_as_model_token,non_drug_drugitem_class,target_vocabulary,target_concept_id,target_code,target_label,mapping_source,match_strength,mapping_confidence
DRUG//START//65//7229,v11_listitem_values,MEDICATION//C01//C//A03,dynamic_event,True,,ATC,21600283.0,C01CA03,norepinephrine; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//21//8268,v11_listitem_values,MEDICATION//A07//A//A,dynamic_event,True,,ATC,21600602.0,A07AA,Antibiotics,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//21//9138,v11_listitem_values,MEDICATION//A01//A//B,dynamic_event,True,,ATC,21600011.0,A01AB,Antiinfectives and antiseptics for local oral treatment,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//29//6891,v11_listitem_values,MEDICATION//N02//B//E01,dynamic_event,True,,ATC,21604344.0,N02BE01,"paracetamol; oral, parenteral, rectal",v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//7624,v11_listitem_values,MEDICATION//A10//A//B01,dynamic_event,True,,ATC,21600715.0,A10AB01,insulin (human); parenteral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//7480,v11_listitem_values,MEDICATION//N01//A//X10,dynamic_event,True,,ATC,21604214.0,N01AX10,propofol,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//7194,v11_listitem_values,MEDICATION//N05//C//D08,dynamic_event,True,,ATC,21604643.0,N05CD08,"midazolam; nasal, oral, parenteral, sublingual",v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//7219,v11_listitem_values,MEDICATION//N01//A//H01,dynamic_event,True,,ATC,21604201.0,N01AH01,fentanyl,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//69//9080,v11_listitem_values,MEDICATION//S01//K//A02,dynamic_event,True,,ATC,21605115.0,S01KA02,hypromellose,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//9001,v11_listitem_values,MEDICATION//B05//X//A01,dynamic_event,True,,ATC,21601196.0,B05XA01,potassium chloride,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//65//19129,v11_listitem_values,MEDICATION//A10//A//B05,dynamic_event,True,,ATC,21600719.0,A10AB05,insulin aspart; parenteral,v10_existing_atc_normalization,validated_atc_concept,high
DRUG//START//69//12471,v11_listitem_values,MEDICATION//R01//A//A07,dynamic_event,True,,ATC,21605016.0,R01AA07,xylometazoline; nasal,v10_existing_atc_normalization,validated_atc_concept,high
