source_token,policy_layer,harmonized_token,token_role,emit_as_model_token,non_drug_drugitem_class,target_vocabulary,target_concept_id,target_code,target_label,mapping_source,match_strength,mapping_confidence
LAB//9947//mmol/l,v13_lab_consolidation,OMOP//OMOP//3020491,dynamic_event/lab,True,,OMOP,3020491.0,3020491,blood_glucose,BlendedICU,label_exact,high
LAB//9990//mmHg,v13_lab_consolidation,LOINC//3013290,dynamic_event/lab,True,,LOINC,3013290.0,3013290,3013290,AMSTEL,source_code,high
LAB//9992//mmol/l,v13_lab_consolidation,LOINC//3006576,dynamic_event/lab,True,,LOINC,3006576.0,3006576,3006576,AMSTEL,source_code,high
LAB//9994//mmol/l,v13_lab_consolidation,LOINC//3012501,dynamic_event/lab,True,,LOINC,3012501.0,3012501,3012501,AMSTEL,source_code,high
LAB//9996//mmHg,v13_lab_consolidation,LOINC//3027315,dynamic_event/lab,True,,LOINC,3027315.0,3027315,3027315,AMSTEL,source_code,high
LAB//10285//mmol/l,v13_lab_consolidation,OMOP//OMOP//3005456,dynamic_event/lab,True,,OMOP,3005456.0,3005456,potassium,BlendedICU,label_exact,high
LAB//10284//mmol/l,v13_lab_consolidation,OMOP//OMOP//3000285,dynamic_event/lab,True,,OMOP,3000285.0,3000285,sodium,BlendedICU,label_exact,high
LAB//10286//mmol/l,v13_lab_consolidation,LOINC//40762351,dynamic_event/lab,True,,LOINC,40762351.0,40762351,40762351,AMSTEL,source_code,high
LAB//10267//mmol/l,v13_lab_consolidation,LOINC//3048816,dynamic_event/lab,True,,LOINC,3048816.0,3048816,3048816,AMSTEL,source_code,high
LAB//14413//mmol/l,v13_lab_consolidation,OMOP//OMOP//3018572,dynamic_event/lab,True,,OMOP,3018572.0,3018572,chloride,BlendedICU,label_exact,high
LAB//9924//mmol/l,v13_lab_consolidation,OMOP//OMOP//3000285,dynamic_event/lab,True,,OMOP,3000285.0,3000285,sodium,BlendedICU,label_exact,high
LAB//9927//mmol/l,v13_lab_consolidation,OMOP//OMOP//3005456,dynamic_event/lab,True,,OMOP,3005456.0,3005456,potassium,BlendedICU,label_exact,high
LAB//9960//mmol/l,v13_lab_consolidation,LOINC//40762351,dynamic_event/lab,True,,LOINC,40762351.0,40762351,40762351,AMSTEL,source_code,high
LAB//9941//µmol/l,v13_lab_consolidation,LOINC//3009508,dynamic_event/lab,True,,LOINC,3009508.0,3009508,3009508,AMSTEL,source_code,high
LAB//9965//10^9/l,v13_lab_consolidation,OMOP//OMOP//3010813,dynamic_event/lab,True,,OMOP,3010813.0,3010813,white_blood_cells,BlendedICU,label_exact,high
LAB//10053//mmol/l,v13_lab_consolidation,LOINC//3047181,dynamic_event/lab,True,,LOINC,3047181.0,3047181,3047181,AMSTEL,source_code,high
LAB//9930//mmol/l,v13_lab_consolidation,OMOP//OMOP//3018572,dynamic_event/lab,True,,OMOP,3018572.0,3018572,chloride,BlendedICU,label_exact,high
LAB//9933//mmol/l,v13_lab_consolidation,LOINC//3015377,dynamic_event/lab,True,,LOINC,3015377.0,3015377,3015377,AMSTEL,source_code,high
