source_token,policy_layer,harmonized_token,token_role,emit_as_model_token,non_drug_drugitem_class,target_vocabulary,target_concept_id,target_code,target_label,mapping_source,match_strength,mapping_confidence
DRUG//START//42//7350,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_drink,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//42//15015,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_drink,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//42//15016,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_drink,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//56//14954,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_food,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//42//15014,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_drink,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//56//14970,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_food,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//56//14982,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_food,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//42//15021,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_drink,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//42//8956,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_drink,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//42//8961,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_drink,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//42//8958,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_food,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//56//14974,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_food,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//42//15017,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_drink,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//56//14990,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_food,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//42//15029,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_drink,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
DRUG//START//42//15018,v4_curated_unmapped,NUTRITION//ORAL,,True,oral_drink,AUMC_LOCAL,,,NUTRITION//ORAL,Stage3J_curated_policy,local_parent_token,medium
