source_token,policy_layer,harmonized_token,token_role,emit_as_model_token,non_drug_drugitem_class,target_vocabulary,target_concept_id,target_code,target_label,mapping_source,match_strength,mapping_confidence
DRUG//START//65//7229,v6_semantic_contamination,ATC//SFX//C01,dynamic_event,True,,ATC,21600283,,C01CA03,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//21//8268,v6_semantic_contamination,ATC//A07//ANTIDIARRHEALS_INTESTINAL_ANTIINFLAMMATORY/ANTIINFECTIVE_AGENTS,dynamic_event,True,,ATC,21600602,,A07AA,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//21//9138,v6_semantic_contamination,ATC//SFX//A01,dynamic_event,True,,ATC,21600011,,A01AB,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//9424,v6_semantic_contamination,FLUID//CRYSTALLOID_OR_DILUENT,dynamic_event/nutrition_fluid,True,crystalloid_or_diluent,LOCAL,,,FLUID//CRYSTALLOID_OR_DILUENT,stage3o_v6_policy,source_code_atc,high
DRUG//START//29//6891,v6_semantic_contamination,ATC//N02//ANALGESICS,dynamic_event,True,,ATC,21604344,,N02BE01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7624,v6_semantic_contamination,ATC//A10//DRUGS_USED_IN_DIABETES,dynamic_event,True,,ATC,21600715,,A10AB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7480,v6_semantic_contamination,ATC//N01//ANESTHETICS,dynamic_event,True,,ATC,21604214,,N01AX10,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//7291,v6_semantic_contamination,FLUID//CRYSTALLOID_OR_DILUENT,dynamic_event/nutrition_fluid,True,crystalloid_or_diluent,LOCAL,,,FLUID//CRYSTALLOID_OR_DILUENT,stage3o_v6_policy,source_code_atc,high
DRUG//START//65//7194,v6_semantic_contamination,ATC//N05//PSYCHOLEPTICS,dynamic_event,True,,ATC,21604643,,N05CD08,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7219,v6_semantic_contamination,ATC//N01//ANESTHETICS,dynamic_event,True,,ATC,21604201,,N01AH01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//69//9080,v6_semantic_contamination,ATC//S01//OPHTHALMOLOGICALS,dynamic_event,True,,ATC,21605115,,S01KA02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//9001,v6_semantic_contamination,ATC//SFX//B05,dynamic_event,True,,ATC,21601196,,B05XA01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//114//12588,v6_semantic_contamination,NUTRITION//ENTERAL,dynamic_event/nutrition_fluid,True,enteral_nutrition,LOCAL,,,NUTRITION//ENTERAL,stage3o_v6_policy,source_code_atc,high
DRUG//START//55//7293,v6_semantic_contamination,FLUID//CRYSTALLOID_OR_DILUENT,dynamic_event/nutrition_fluid,True,crystalloid_or_diluent,LOCAL,,,FLUID//CRYSTALLOID_OR_DILUENT,stage3o_v6_policy,source_code_atc,high
DRUG//START//65//19129,v6_semantic_contamination,ATC//A10//DRUGS_USED_IN_DIABETES,dynamic_event,True,,ATC,21600719,,A10AB05,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//69//12471,v6_semantic_contamination,ATC//R01//NASAL_PREPARATIONS,dynamic_event,True,,ATC,21605016,,R01AA07,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//70//10622,v6_semantic_contamination,ATC//R03//ANTI-ASTHMATICS,dynamic_event,True,,ATC,43534842,,R03AL,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//55//8937,v6_semantic_contamination,ATC//SFX//B05,metadata_only,False,line_or_device_metadata,ATC,21601161,,B05BB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//25//7625,v6_semantic_contamination,ATC//SFX//B01,dynamic_event,True,,ATC,21600977,,B01AB06,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//67//7106,v6_semantic_contamination,ATC//H02//CORTICOSTEROIDS_FOR_SYSTEMIC_USE,dynamic_event,True,,ATC,21602737,,H02AB09,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//70//9149,v6_semantic_contamination,ATC//R03//ANTI-ASTHMATICS,dynamic_event,True,,ATC,43534844,,R03AL02,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//31//8108,v6_semantic_contamination,ATC//A06//LAXATIVES,dynamic_event,True,,ATC,21600575,,A06AD15,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//7930,v6_semantic_contamination,ATC//SFX//B01,dynamic_event,True,,ATC,21600973,,B01AB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//65//9014,v6_semantic_contamination,ATC//A10//DRUGS_USED_IN_DIABETES,dynamic_event,True,,ATC,21600715,,A10AB01,AMSTEL_source_concepts,source_code_atc,high
DRUG//START//17//7252,v6_semantic_contamination,FLUID//COLLOID_OR_VOLUME_EXPANDER,dynamic_event/nutrition_fluid,True,colloid_or_volume_expander,LOCAL,,,FLUID//COLLOID_OR_VOLUME_EXPANDER,stage3o_v6_policy,source_code_atc,high
