source_token,policy_layer,harmonized_token,token_role,emit_as_model_token,non_drug_drugitem_class,target_vocabulary,target_concept_id,target_code,target_label,mapping_source,match_strength,mapping_confidence
DRUG//START//30//7184,v8_device_outcome_refinement,MEDICATION//BETA_BLOCKER//METOPROLOL,dynamic_event/medication,True,,ATC,21601684,,metoprolol,Stage3P_medication_conflict_resolution,source_label_conflict_fix,high
DRUG//START//31//7979,v8_device_outcome_refinement,MEDICATION//PROTON_PUMP_INHIBITOR//PANTOPRAZOLE,dynamic_event/medication,True,,ATC,21600097,,pantoprazole,Stage3P_medication_conflict_resolution,source_label_conflict_fix,high
DRUG//START//55//10738,v8_device_outcome_refinement,DEVICE//CRRT_CVVH//OTHER,dynamic_event/device_support,True,,AUMC_LOCAL,,,DEVICE//CRRT_CVVH,Stage3P_coarse_crrt_policy,source_label_coarse_rule,medium
DRUG//START//24//7184,v8_device_outcome_refinement,MEDICATION//BETA_BLOCKER//METOPROLOL,dynamic_event/medication,True,,ATC,21601684,,metoprolol,Stage3P_medication_conflict_resolution,source_label_conflict_fix,high
DRUG//START//65//7184,v8_device_outcome_refinement,MEDICATION//BETA_BLOCKER//METOPROLOL,dynamic_event/medication,True,,ATC,21601684,,metoprolol,Stage3P_medication_conflict_resolution,source_label_conflict_fix,high
MEASUREMENT_CATEGORICAL//7969//3,v8_device_outcome_refinement,DEVICE//CRRT_CVVH//STOP_REASON,dynamic_event/device_support,True,,AUMC_LOCAL,,,DEVICE//CRRT_CVVH,Stage3P_coarse_crrt_policy,source_label_coarse_rule,medium
MEASUREMENT_CATEGORICAL//7969//2,v8_device_outcome_refinement,DEVICE//CRRT_CVVH//STOP_REASON,dynamic_event/device_support,True,,AUMC_LOCAL,,,DEVICE//CRRT_CVVH,Stage3P_coarse_crrt_policy,source_label_coarse_rule,medium
MEASUREMENT_CATEGORICAL//7969//12,v8_device_outcome_refinement,DEVICE//CRRT_CVVH//STOP_REASON,dynamic_event/device_support,True,,AUMC_LOCAL,,,DEVICE//CRRT_CVVH,Stage3P_coarse_crrt_policy,source_label_coarse_rule,medium
MEASUREMENT_CATEGORICAL//7969//4,v8_device_outcome_refinement,DEVICE//CRRT_CVVH//STOP_REASON,dynamic_event/device_support,True,,AUMC_LOCAL,,,DEVICE//CRRT_CVVH,Stage3P_coarse_crrt_policy,source_label_coarse_rule,medium
MEASUREMENT_CATEGORICAL//20536//1,v8_device_outcome_refinement,DEVICE//CRRT_CVVH//ANTICOAGULATION,dynamic_event/device_support,True,,AUMC_LOCAL,,,DEVICE//CRRT_CVVH,Stage3P_coarse_crrt_policy,source_label_coarse_rule,medium
MEASUREMENT_CATEGORICAL//20548//1,v8_device_outcome_refinement,DEVICE//CRRT_CVVH//DILUTION,dynamic_event/device_support,True,,AUMC_LOCAL,,,DEVICE//CRRT_CVVH,Stage3P_coarse_crrt_policy,source_label_coarse_rule,medium
MEASUREMENT_CATEGORICAL//7969//1,v8_device_outcome_refinement,DEVICE//CRRT_CVVH//STOP_REASON,dynamic_event/device_support,True,,AUMC_LOCAL,,,DEVICE//CRRT_CVVH,Stage3P_coarse_crrt_policy,source_label_coarse_rule,medium
